source,target,weight,sources
antu,yenifer-y-su-auto-magico,1,bio
aqm,4045,1,bio
aqm,4776,1,bio
aqm,david-bolzoni,1,bio
aquelarre,emilio-del-guercio,2,bio
aquelarre,la-electrica-rioplatense,1,bio
aquelarre,tantor,1,bio
aquelarre,tia-newton,1,bio
aquilae,litto-nebbia,1,bio
arbol,attaque-77,1,bio
arbol,bersuit-vergarabat,1,bio
arbol,eduardo-schmidt,2,bio
arbol,gustavo-santaolalla,1,bio
arbol,los-caballeros-de-la-quema,1,bio
arbol,matias-chavez-mendez,2,bio
arbol,desierto-y-agua,1,bio
arbol,flor,1,bio
arbol,guillermina,1,bio
arbol,josefina-pretende,1,bio
arbol,nuca,1,bio
arbol,rey-momo,1,bio
arbol,sancamaleon,1,bio
arbol,sr-valdez,1,bio
arbol,los-tipitos,1,bio
arco-iris,gustavo-santaolalla,1,bio
arco-iris,contraluz,1,bio
arco-iris,leon-gieco,1,bio
arco-iris,miguel-krochik,1,bio
arco-iris,soluna,1,bio
arde-roma,josefita,1,bio
argies,attaque-77,1,bio
argies,todos-tus-muertos,1,bio
artico,la-mississippi,1,bio
ascensor,los-enanitos-verdes,1,bio
astenia,3937,1,bio
astenia,las-pelotas,1,bio
astroblues,la-mississippi,1,bio
astroboy,los-mockers,1,bio
astroboy,martin-rivero,1,bio
atentado-arrabalero-2,ioja,1,bio
atlante,3866,1,bio
atlanticus,gustavo-cerati,1,bio
atlantida,divididos,1,bio
atlantida,la-renga,1,bio
attaque-77,ciro-pertusi,2,bio
attaque-77,divididos,2,bio
attaque-77,el-otro-yo,2,bio
attaque-77,la-renga,1,bio
attaque-77,las-pelotas,2,bio
attaque-77,leon-gieco,2,bio
attaque-77,los-piojos,1,bio
attaque-77,los-siete-delfines,1,bio
attaque-77,luca-prodan,1,bio
attaque-77,pez,2,bio
attaque-77,todos-tus-muertos,2,bio
attaque-77,los-autenticos-decadentes,1,bio
attaque-77,bien-desocupados,1,bio
attaque-77,boas-teitas,1,bio
attaque-77,los-bastarddos,1,bio
attaque-77,fabiana-cantilo,1,bio
attaque-77,d-i-o-n-i-s-i-o-s,1,bio
attaque-77,de-romanticistas-shaolins,1,bio
attaque-77,extremo-03,1,bio
attaque-77,erica-garcia,1,bio
attaque-77,jauria,1,bio
attaque-77,katarro-vandaliko,1,bio
attaque-77,mamporro,1,bio
attaque-77,otra-vez-sopa,1,bio
attaque-77,rata-blanca,1,bio
attaque-77,suite-19,1,bio
attaque-77,sumo,1,bio
attaque-77,villanos,1,bio
attaque-77,virus,1,bio
attaque-77,2-minutos,1,bio
aucan,leon-gieco,1,bio
aucan,miguel-y-eugenio,1,bio
audiopark,gaspar-benegas,1,bio
auditores,alejandro-lerner,1,bio
auge,daniel-melero,1,bio
auge,los-siete-delfines,1,bio
auge,lucho-cervi,2,bio
autobus,380,1,bio
autobus,los-shakers,1,bio
autobus,los-rancheros,1,bio
autobus,schanzenbach,1,bio
automatica,mundo-kronhela,1,bio
avant-press,daniel-melero,1,bio
avant-press,gustavo-cerati,1,bio
avant-press,leo-garcia,2,bio
avant-press,soda-stereo,1,bio
avant-press,bristol,1,bio
avant-press,el-otro-yo,1,bio
ave,tweety-gonzalez,1,bio
azafata,miranda,1,bio
azafata,soda-stereo,1,bio
aznar-lebon,david-lebon,1,bio
aznar-lebon,pedro-aznar,1,bio
aznar-lebon,seru-giran,1,bio
aztecas-tupro,catupecu-machu,1,bio
aztecas-tupro,karamelo-santo,1,bio
black-amaya,138,1,bio
black-amaya,242,1,bio
black-amaya,alejandro-medina,1,bio
black-amaya,hector-starc,1,bio
black-amaya,juanse,1,bio
black-amaya,la-pesada-del-rocanrol,1,bio
black-amaya,las-blacanblus,1,bio
black-amaya,los-robertones,2,bio
black-amaya,luis-alberto-spinetta,2,bio
black-amaya,pappos-blues,2,bio
black-amaya,pescado-rabioso,1,bio
black-amaya,black-amaya-quinteto,1,bio
black-amaya,la-banda-del-paraiso,1,bio
black-amaya,engranaje,1,bio
black-amaya,pappo,1,bio
daniel-alambre-gonzalez,mam,1,bio
el-adoquin,gady-pampillon,1,bio
el-adoquin,rinaldo-rafanelli,1,bio
federico-arroyo,4968,1,bio
federico-arroyo,bersuit-vergarabat,1,bio
gabriel-ardanaz,bauer,1,bio
gonzalo-aloras,fito-paez,1,bio
gonzalo-aloras,mortadela-rancia,2,bio
la-armada-cosmica,juanse,1,bio
la-asociacion,los-siete-delfines,1,bio
leandro-aput,cabezones,2,bio
leandro-aput,karamelo-santo,1,bio
lisandro-aristimuno,mariana-baraj,1,bio
los-abuelos-de-la-nada,andres-calamaro,2,bio
los-abuelos-de-la-nada,cachorro-lopez,2,bio
los-abuelos-de-la-nada,charly-garcia,2,bio
los-abuelos-de-la-nada,claudio-gabis,2,bio
los-abuelos-de-la-nada,daniel-melingo,2,bio
los-abuelos-de-la-nada,gringui-herrera,1,bio
los-abuelos-de-la-nada,gustavo-bazterrica,2,bio
los-abuelos-de-la-nada,kubero-diaz,2,bio
los-abuelos-de-la-nada,luis-alberto-spinetta,1,bio
los-abuelos-de-la-nada,miguel-abuelo,2,bio
los-abuelos-de-la-nada,pappo,2,bio
los-abuelos-de-la-nada,sueter,2,bio
los-abuelos-de-la-nada,bunnder,1,bio
los-abuelos-de-la-nada,willy-crook,1,bio
los-abuelos-de-la-nada,desague-varela,1,bio
los-abuelos-de-la-nada,los-fabulosos-cadillacs,1,bio
los-abuelos-de-la-nada,hector-pomo-lorenzo,1,bio
los-abuelos-de-la-nada,lhgs,1,bio
los-abuelos-de-la-nada,los-maxilares-de-peron,1,bio
los-abuelos-de-la-nada,manal,1,bio
los-abuelos-de-la-nada,fito-paez,1,bio
los-abuelos-de-la-nada,patricio-rey-y-sus-redonditos-de-ricota,1,bio
los-abuelos-de-la-nada,los-rodriguez,1,bio
los-abuelos-de-la-nada,septima-ola,1,bio
los-aggrotones,mimi-maura,1,bio
los-animalitos,andres-calamaro,1,bio
los-animalitos,los-autenticos-decadentes,1,bio
los-arcontes,marcelo-roascio,1,bio
los-autenticos-decadentes,babasonicos,1,bio
los-autenticos-decadentes,daniel-melero,1,bio
los-autenticos-decadentes,javier-calamaro,1,bio
los-autenticos-decadentes,jorge-serrano,2,bio
los-autenticos-decadentes,los-pericos,1,bio
los-autenticos-decadentes,todos-tus-muertos,1,bio
los-autenticos-decadentes,turf,1,bio
los-autenticos-decadentes,los-cafres,1,bio
los-autenticos-decadentes,braulio-daguirre,1,bio
los-autenticos-decadentes,los-fabulosos-cadillacs,1,bio
los-autenticos-decadentes,klub,1,bio
los-autenticos-decadentes,la-mancha-de-rolando,1,bio
los-autenticos-decadentes,no-te-va-gustar,1,bio
los-autenticos-decadentes,sponsors,1,bio
los-autenticos-decadentes,sumo,1,bio
los-autos-locos,peligrosos-gorriones,1,bio
maria-fernanda-aldana,el-otro-yo,1,bio
mariano-acosta,fantasmagoria,1,bio
miguel-abuelo,andres-calamaro,1,bio
miguel-abuelo,cachorro-lopez,1,bio
miguel-abuelo,daniel-melingo,1,bio
miguel-abuelo,gustavo-bazterrica,1,bio
miguel-abuelo,javier-martinez,1,bio
miguel-abuelo,litto-nebbia,1,bio
miguel-abuelo,moris,1,bio
miguel-abuelo,tanguito,1,bio
miguel-abuelo,carlos-cutaia,1,bio
miguel-abuelo,la-cofradia-de-la-flor-solar,1,bio
miguel-abuelo,willy-crook,1,bio
miguel-abuelo,kubero-diaz,1,bio
miguel-abuelo,nito-mestre,1,bio
miguel-abuelo,jose-alberto-iglesias-tanguito,1,bio
miguel-abuelo,virus,1,bio
pedro-aznar,charly-garcia,5,"bio,disco"
pedro-aznar,david-lebon,2,bio
pedro-aznar,emilio-del-guercio,1,bio
pedro-aznar,gustavo-cerati,1,bio
pedro-aznar,leon-gieco,1,bio
pedro-aznar,luis-alberto-spinetta,1,bio
pedro-aznar,madre-atomica,2,bio
pedro-aznar,pastoral,2,bio
pedro-aznar,raul-porchetto,1,bio
pedro-aznar,seru-giran,2,bio
pedro-aznar,soda-stereo,1,bio
pedro-aznar,bienes-raices,1,bio
pedro-aznar,billy-bond,1,bio
pedro-aznar,ulises-butron,1,bio
pedro-aznar,andres-calamaro,1,bio
pedro-aznar,fabiana-cantilo,1,bio
pedro-aznar,lito-epumer,1,bio
pedro-aznar,juan-carlos-mono-fontana,1,bio
pedro-aznar,los-musicos-del-centro,1,bio
pedro-aznar,metropoli,1,bio
pedro-aznar,oscar-moro,1,bio
pedro-aznar,los-pinguinos,1,bio
pedro-aznar,tin-roig,1,bio
pedro-aznar,sandro,1,bio
pedro-aznar,seleste,1,bio
pedro-aznar,spinetta-jade,1,bio
pedro-aznar,sueter,1,bio
pedro-aznar,sumo,1,bio
tomas-amante,vento,1,bio
adrian-barilari,rata-blanca,1,bio
alejandra-burgos,las-beladies,1,bio
alejandro-brena,david-lebon,1,bio
alfonso-barbieri,15487,1,bio
alfonso-barbieri,7787,1,bio
alfonso-barbieri,los-cocineros,1,bio
alfonso-barbieri,viajantes,1,bio
antonio-birabent,860,1,bio
antonio-birabent,andres-calamaro,1,bio
antonio-birabent,cachorro-lopez,1,bio
antonio-birabent,fito-paez,1,bio
antonio-birabent,leon-gieco,1,bio
antonio-birabent,litto-nebbia,1,bio
antonio-birabent,los-gatos,1,bio
antonio-birabent,moris,2,bio
antonio-birabent,sumo,1,bio
antonio-birabent,charly-garcia,1,bio
babasonicos,159,1,bio
babasonicos,carca,2,bio
babasonicos,daniel-melero,1,bio
babasonicos,gustavo-cerati,1,bio
babasonicos,juana-la-loca,2,bio
babasonicos,peligrosos-gorriones,2,bio
babasonicos,soda-stereo,1,bio
babasonicos,los-brujos,1,bio
babasonicos,los-caballeros-de-pedro-juan,1,bio
babasonicos,luchi-camorra,1,bio
babasonicos,demonios-de-tasmania,1,bio
babasonicos,estilo-zero,1,bio
babasonicos,juani-favre,1,bio
babasonicos,guasones,1,bio
babasonicos,juan-ingaramo,1,bio
babasonicos,johnosoyyoko,1,bio
babasonicos,lenoise,1,bio
babasonicos,martes-menta,1,bio
babasonicos,massacre,1,bio
babasonicos,muerte-al-tio-cosa,1,bio
babasonicos,polaris,1,bio
babasonicos,tabule,1,bio
babasonicos,usted-senalemelo,1,bio
babasonicos,las-vacas-sagradas,1,bio
babasonicos,victoria-mil,1,bio
babasonicos,villanos,1,bio
babasonicos,virus,1,bio
babasonicos,volador-g,1,bio
babel-orkesta,guilo-villar,1,bio
baglietto-garre,juan-carlos-baglietto,1,bio
baglietto-garre,silvina-garre,1,bio
baglietto-vitale,juan-carlos-baglietto,2,bio
baglietto-vitale,lito-vitale,1,bio
bahiano,los-pericos,2,bio
bahiano,soda-stereo,1,bio
bahiano,klub,1,bio
bajofondo,gustavo-santaolalla,1,bio
bajofondo,juan-campodonico,2,bio
bajofondo,luciano-supervielle,1,bio
bajofondo,santullo,1,bio
banda-de-turistas,the-pelos,1,bio
banda-de-turistas,supercheria,1,bio
bao-bab,6076,1,bio
bao-bab,daniel-melero,1,bio
bao-bab,florencia-hana-ciliberti,1,bio
bao-bab,soda-stereo,1,bio
barbara-feldon,mataplantas,1,bio
barro,don-cornelio-y-la-zona,1,bio
barro,flopa-lestani,2,bio
barro,mata-violeta,2,bio
barro,pequena-orquesta-reincidentes,1,bio
barrygan,spleen,1,bio
bauer,polaroid,1,bio
beduinos,408,1,bio
beduinos,7040,1,bio
bel-mondo,charly-garcia,1,bio
bel-mondo,clap,1,bio
bel-mondo,diego-frenkel,2,bio
bel-mondo,fernando-samalea,1,bio
bel-mondo,la-portuaria,1,bio
bela-lugosi,las-pelotas,1,bio
bernardo-baraj,color-humano,1,bio
bernardo-baraj,edelmiro-molinari,1,bio
bernardo-baraj,lito-vitale,2,bio
bernardo-baraj,litto-nebbia,2,bio
bernardo-baraj,la-banda,1,bio
bernardo-baraj,can-can,1,bio
bernardo-baraj,leon-gieco,1,bio
bernardo-baraj,liliana-vitale,1,bio
bernardo-baraj,vitale-baraj-gonzalez-el-trio,1,bio
bersuit-vergarabat,de-bueyes,2,bio
bersuit-vergarabat,gustavo-cordera,2,bio
bersuit-vergarabat,juan-subira,2,bio
bersuit-vergarabat,las-manos-de-filippi,1,bio
bersuit-vergarabat,luis-alberto-spinetta,1,bio
bersuit-vergarabat,brut69,1,bio
bersuit-vergarabat,la-beriso,1,bio
bersuit-vergarabat,carmina-burana,1,bio
bersuit-vergarabat,d-i-o-n-i-s-i-o-s,1,bio
bersuit-vergarabat,einstein,1,bio
bersuit-vergarabat,tweety-gonzalez,1,bio
bersuit-vergarabat,la-mancha-de-rolando,1,bio
